Latitude,Longitude,축종,발생두수,ID
37.8173563,128.0004157,벌-재래종,5,636
37.0603106,128.3768758,벌-재래종,1,375
36.7877626,129.2030091,벌-재래종,11,718
34.7128412,127.1870253,벌-재래종,1,2054
37.25075,128.6692609,벌-재래종,18,5271
36.7325426,128.1554979,벌-개량종,3,8810
38.1681838,128.1786506,벌-재래종,7,5977
37.3909559,127.8008094,벌-재래종,1,4213
34.7168052,127.1320597,벌-재래종,1,1550
36.8428925,128.5079335,벌-재래종,7,391
36.8581851,128.5151227,벌-재래종,7,391
37.497971,127.5050639,벌-재래종,2,3738
35.2480059,126.9756866,벌-개량종,1,560
36.6536828,128.9347622,벌-재래종,35,3704
37.4358067,128.3992554,벌-재래종,1,3663
37.9529831,128.1965588,벌-재래종,9,654
37.4358067,128.3992554,벌-재래종,1,3663
36.5095472,129.0923238,벌-재래종,2,2743
35.1414667,126.5323581,벌-재래종,1,447
38.0019958,128.6187189,벌-재래종,7,2305
35.8869663,127.8205443,벌-재래종,1,4217
36.9256095,128.9603713,벌-재래종,65,3151
37.5631941,128.3127372,벌-재래종,1,7113
36.3321473,128.8067483,벌-재래종,1,2714
37.2237462,128.6427344,벌-재래종,5,5271
38.1700928,127.7093384,벌-재래종,5,2591
37.5893415,127.4947634,벌-재래종,2,4110
36.9796571,128.3675653,벌-재래종,2,5230
35.7070291,127.1532238,벌-재래종,20,4043
35.3608443,128.4593874,벌-개량종,1,8915
37.5558764,127.5817911,벌-재래종,4,2517
36.3351104,128.9174135,벌-재래종,9,6118
34.7040567,127.1445908,벌-재래종,1,1550
36.9796571,128.3675653,벌-재래종,1,5230
35.8869663,127.8205443,벌-재래종,13,4217
35.8869663,127.8205443,벌-재래종,3,4217
37.7979718,126.3953013,벌-재래종,26,33
37.1919741,128.5989961,벌-재래종,2,1868
35.2164841,126.5568892,벌-개량종,100,1966
37.5690079,128.3547193,벌-재래종,2,7113
37.3628576,128.4182448,벌-재래종,7,6601
38.0087006,128.1617215,벌-재래종,2,5984
