id,학명,종,경도,위도,관찰일자,연도,지역
003000000001248288,Castanea crenata,밤나무,34.69905,128.1892694,2018-04-27,2018,경상남도
003000000001150725,Castanea crenata,밤나무,35.325,128.2133333,2018-08-07,2018,경상남도
003000000001185453,Castanea crenata,밤나무,35.2025,128.41625,2018-09-15,2018,경상남도
003000000001138394,Castanea crenata,밤나무,35.26152778,128.3002778,2018-04-28,2018,경상남도
003000000001089730,Castanea crenata,밤나무,34.74025,128.0210583,2018-04-28,2018,경상남도
003000000001185230,Castanea crenata,밤나무,35.19638889,128.4136111,2018-04-29,2018,경상남도
003000000001241506,Castanea crenata,밤나무,35.44473333,127.6973333,2018-04-05,2018,경상남도
003000000001206591,Castanea crenata,밤나무,36.86458306,129.3986831,2014-10-08,2014,경상북도
003000000001231006,Castanea crenata,밤나무,36.81888889,128.8452781,2014-08-15,2014,경상북도
003000000001166883,Castanea crenata,밤나무,36.93078111,129.2983189,2014-06-13,2014,경상북도
003000000001213847,Castanea crenata,밤나무,36.80905806,129.0897861,2014-08-07,2014,경상북도
003000000001195256,Castanea crenata,밤나무,37.01234694,128.9337,2014-06-14,2014,경상북도
003000000001157617,Castanea crenata,밤나무,36.967475,129.0658281,2014-08-06,2014,경상북도
003000000001199333,Castanea crenata,밤나무,36.77480806,129.2411781,2014-06-06,2014,경상북도
003000000001199440,Castanea crenata,밤나무,36.78802194,129.3297169,2014-06-26,2014,경상북도
003000000001174651,Castanea crenata,밤나무,36.91678306,128.5686169,2014-06-28,2014,경상북도
003000000001135924,Castanea crenata,밤나무,35.76377806,128.1880281,2014-05-15,2014,경상북도
003000000001098534,Castanea crenata,밤나무,36.95789694,129.3842669,2014-10-06,2014,경상북도
003000000001239965,Castanea crenata,밤나무,35.58148306,128.732725,2014-07-10,2014,경상북도
003000000001096417,Castanea crenata,밤나무,35.76277778,129.1525,2015-05-29,2015,경상북도
003000000001096418,Castanea crenata,밤나무,35.76166667,129.1525,2015-06-20,2015,경상북도
003000000001171194,Castanea crenata,밤나무,37.51302778,130.9111944,2015-06-20,2015,경상북도
003000000001224353,Castanea crenata,밤나무,36.65416667,129.3586111,2015-09-09,2015,경상북도
003000000001186302,Castanea crenata,밤나무,35.9595498,128.1324814,2016-04-09,2016,경상북도
003000000001103684,Castanea crenata,밤나무,36.0925,128.0238056,2016-09-10,2016,경상북도
003000000001159268,Castanea crenata,밤나무,35.848582,129.010004,2016-07-25,2016,경상북도
003000000001102646,Castanea crenata,밤나무,36.08991667,128.0235556,2016-06-03,2016,경상북도
003000000001103146,Castanea crenata,밤나무,36.08991667,128.0235556,2016-06-03,2016,경상북도
003000000001103290,Castanea crenata,밤나무,36.09941667,128.025,2016-06-03,2016,경상북도
003000000001103577,Castanea crenata,밤나무,36.08027778,128.0184167,2016-07-08,2016,경상북도
003000000001216584,Castanea crenata,밤나무,36.45381944,128.5748139,2017-06-15,2017,경상북도
003000000001120972,Castanea crenata,밤나무,36.14447222,128.1093889,2017-06-02,2017,경상북도
003000000001158465,Castanea crenata,밤나무,36.48833333,128.3605556,2017-06-12,2017,경상북도
003000000001120591,Castanea crenata,밤나무,36.19405556,128.0896111,2017-04-21,2017,경상북도
003000000001112495,Castanea crenata,밤나무,36.2575,128.5994444,2017-06-25,2017,경상북도
003000000001121033,Castanea crenata,밤나무,36.19308333,128.0886389,2017-08-16,2017,경상북도
003000000001121244,Castanea crenata,밤나무,36.17577778,128.0912222,2017-09-22,2017,경상북도
003000000001163288,Castanea crenata var. kusakuri (Blume) Nakai,산밤나무,36.656693,128.0858,2018-05-20,2018,경상북도
003000000001194031,Castanea crenata,밤나무,36.61527778,128.8165556,2018-04-08,2018,경상북도
003000000001078111,Castanea crenata,밤나무,36.27066667,129.0558611,2018-04-12,2018,경상북도
003000000001077643,Castanea crenata,밤나무,35.88441111,128.9287278,2018-08-25,2018,경상북도
003000000001209537,Castanea crenata,밤나무,36.654125,128.127182,2018-05-05,2018,경상북도
003000000001153477,Castanea crenata,밤나무,36.15820278,128.9494556,2018-08-26,2018,경상북도
003000000001158123,Castanea crenata,밤나무,36.50697222,129.08375,2018-04-29,2018,경상북도
003000000001143535,Castanea crenata,밤나무,36.73177778,129.2000278,2018-04-24,2018,경상북도
003000000001163966,Castanea crenata var. kusakuri (Blume) Nakai,산밤나무,36.69672,128.146042,2018-05-21,2018,경상북도
003000000001077009,Castanea crenata,밤나무,37.01269444,128.8343333,2018-05-31,2018,경상북도
003000000001157835,Castanea crenata,밤나무,37.04738889,129.0464444,2018-06-30,2018,경상북도
003000000001221863,Castanea crenata,밤나무,35.72460306,128.6461919,2014-06-29,2014,대구광역시
003000000001151047,Castanea crenata,밤나무,35.81461667,128.6546639,2018-03-30,2018,대구광역시
003000000001151187,Castanea crenata,밤나무,35.79993333,128.6985028,2018-05-05,2018,대구광역시
003000000001229576,Castanea crenata,밤나무,36.300975,127.4834861,2017-04-01,2017,대전광역시
003000000001196674,Castanea crenata,밤나무,36.40002222,127.294625,2017-04-02,2017,대전광역시
003000000001229803,Castanea crenata,밤나무,36.30666111,127.4811722,2017-10-21,2017,대전광역시
003000000001196731,Castanea crenata,밤나무,36.40411389,127.2855417,2017-05-06,2017,대전광역시
003000000001196737,Castanea crenata,밤나무,36.40321389,127.2974556,2017-10-22,2017,대전광역시
003000000001220283,Castanea crenata,밤나무,35.32133611,129.1340194,2018-06-22,2018,부산광역시
003000000001089122,Castanea crenata,밤나무,35.28846389,129.0671694,2018-09-16,2018,부산광역시
003000000001177974,Castanea crenata,밤나무,37.59594389,127.108,2014-10-18,2014,서울특별시
003000000001152739,Castanea crenata,밤나무,37.542175,126.854705,2014-08-05,2014,서울특별시
003000000001156810,Castanea crenata,밤나무,37.60766694,126.9474439,2014-09-02,2014,서울특별시
003000000001178565,Castanea crenata,밤나무,37.66739694,127.0866081,2014-05-06,2014,서울특별시
003000000001170771,Castanea crenata,밤나무,36.62838889,127.2123331,2014-05-30,2014,세종특별자치시
003000000001122896,Castanea crenata,밤나무,35.63738889,129.3786719,2014-09-17,2014,울산광역시
003000000001146745,Castanea crenata,밤나무,37.50527806,126.5452781,2014-09-19,2014,인천광역시
003000000001073625,Castanea crenata,밤나무,37.72944389,126.4433331,2014-10-09,2014,인천광역시
003000000001146584,Castanea crenata,밤나무,37.50388889,126.5491669,2014-08-28,2014,인천광역시
003000000001254076,Castanea crenata,밤나무,37.553365,126.7150231,2014-06-03,2014,인천광역시
003000000001253838,Castanea crenata,밤나무,37.553365,126.7150231,2014-08-05,2014,인천광역시
003000000001221803,Castanea crenata,밤나무,37.78111111,126.2916669,2014-09-26,2014,인천광역시
003000000001220844,Castanea crenata,밤나무,37.77666694,126.2236111,2014-09-26,2014,인천광역시
003000000001073436,Castanea crenata,밤나무,37.70722194,126.42,2014-09-01,2014,인천광역시
003000000001131655,Castanea crenata,밤나무,37.73861111,126.2963889,2014-06-24,2014,인천광역시
003000000001148045,Castanea crenata,밤나무,37.39759167,126.4117083,2017-04-08,2017,인천광역시
003000000001243191,Castanea crenata,밤나무,37.26554722,126.4746417,2017-04-08,2017,인천광역시
003000000001147662,Castanea crenata,밤나무,37.53333333,126.3503056,2017-09-12,2017,인천광역시
003000000001130783,Castanea crenata,밤나무,37.42787778,126.6862361,2017-03-18,2017,인천광역시
003000000001245535,Castanea crenata,밤나무,37.66251389,125.7008472,2018-06-01,2018,인천광역시
003000000001246256,Castanea crenata,밤나무,37.61244167,125.7117306,2018-08-26,2018,인천광역시
003000000001245536,Castanea crenata,밤나무,37.6652,125.6885,2018-05-31,2018,인천광역시
003000000001244604,Castanea crenata,밤나무,37.21933333,126.1244722,2018-04-30,2018,인천광역시
003000000001140926,Castanea crenata var. kusakuri (Blume) Nakai,산밤나무,37.665611,126.201225,2018-04-28,2018,인천광역시
003000000001244337,Castanea crenata,밤나무,37.659195,126.197319,2018-08-25,2018,인천광역시
003000000001244952,Castanea crenata,밤나무,37.22361111,126.1244722,2018-08-20,2018,인천광역시
003000000001246568,Castanea crenata,밤나무,37.22222222,126.16325,2018-04-29,2018,인천광역시
003000000001244988,Castanea crenata,밤나무,37.23180556,126.1213889,2018-08-20,2018,인천광역시
003000000001246465,Castanea crenata,밤나무,37.60845,125.7179667,2018-10-29,2018,인천광역시
003000000001246924,Castanea crenata,밤나무,37.22369444,126.1315833,2018-11-02,2018,인천광역시
003000000001247023,Castanea crenata,밤나무,37.21230556,126.1758056,2018-11-03,2018,인천광역시
003000000001247082,Castanea crenata,밤나무,37.21230556,126.1758056,2018-11-03,2018,인천광역시
003000000001164896,Castanea crenata,밤나무,34.35805556,126.6858333,,2015,전라남도
003000000001156209,Castanea crenata,밤나무,34.59694444,126.8830556,2015-07-17,2015,전라남도
003000000001166503,Castanea crenata,밤나무,34.64019,126.704294,2016-05-31,2016,전라남도
003000000001166502,Castanea crenata,밤나무,34.615492,126.705932,2016-06-19,2016,전라남도
003000000001166504,Castanea crenata,밤나무,34.607533,126.684939,2016-06-20,2016,전라남도
003000000001179650,Castanea crenata,밤나무,34.722231,126.842967,2016-10-08,2016,전라남도
003000000001179044,Castanea crenata,밤나무,34.95588889,127.4513639,2017-05-27,2017,전라남도
003000000001106838,Castanea crenata,밤나무,34.79879722,127.3073806,2017-05-27,2017,전라남도
003000000001195651,Castanea crenata,밤나무,34.96600833,127.5006278,2017-10-20,2017,전라남도
003000000001238939,Castanea crenata,밤나무,34.95473333,127.3215917,2017-06-23,2017,전라남도
003000000001218974,Castanea crenata,밤나무,34.54585,127.3774417,2017-06-24,2017,전라남도
003000000001238813,Castanea crenata,밤나무,34.94543611,127.3248611,2017-04-16,2017,전라남도
003000000001215955,Castanea crenata,밤나무,34.55828333,126.87805,2017-06-09,2017,전라남도
003000000001197978,Castanea crenata,밤나무,34.65027778,127.3552778,2017-06-09,2017,전라남도
003000000001215982,Castanea crenata,밤나무,34.55828333,126.87805,2017-06-09,2017,전라남도
003000000001218415,Castanea crenata,밤나무,34.5579,127.2608778,2017-04-22,2017,전라남도
003000000001158864,Castanea crenata,밤나무,34.565,127.2344444,2017-06-16,2017,전라남도
003000000001156273,Castanea crenata,밤나무,34.58236667,126.84015,2017-04-07,2017,전라남도
003000000001211901,Castanea crenata,밤나무,34.6821,127.0271167,2017-06-22,2017,전라남도
003000000001211958,Castanea crenata,밤나무,34.69168333,127.0130167,2017-06-22,2017,전라남도
003000000001188427,Castanea crenata,밤나무,34.82085556,127.7290833,2017-06-10,2017,전라남도
003000000001188400,Castanea crenata,밤나무,34.82085556,127.7290833,2017-06-10,2017,전라남도
003000000001212403,Castanea crenata,밤나무,34.80211389,127.177825,2017-05-06,2017,전라남도
003000000001195492,Castanea crenata,밤나무,34.96766667,127.5122083,2017-05-06,2017,전라남도
003000000001083639,Castanea crenata,밤나무,34.94318889,127.6471944,2017-05-06,2017,전라남도
003000000001198206,Castanea crenata,밤나무,34.76392778,127.377125,2017-04-17,2017,전라남도
003000000001155045,Castanea crenata,밤나무,34.67843611,127.7718472,2017-05-03,2017,전라남도
003000000001240450,Castanea crenata,밤나무,34.80995,127.6085583,2017-05-04,2017,전라남도
003000000001191567,Castanea crenata,밤나무,34.72361111,127.1952778,2017-10-06,2017,전라남도
003000000001074692,Castanea crenata,밤나무,34.66535,127.6037972,2017-10-05,2017,전라남도
003000000001212745,Castanea crenata,밤나무,34.7893,127.1803611,2017-10-02,2017,전라남도
003000000001230724,Castanea crenata,밤나무,34.68555556,127.4044444,2017-08-13,2017,전라남도
003000000001097044,Castanea crenata,밤나무,34.35488889,126.5641389,2018-09-01,2018,전라남도
003000000001220028,Castanea crenata,밤나무,35.26753333,127.3489333,2018-05-04,2018,전라남도
003000000001237654,Castanea crenata,밤나무,35.27983333,127.2137,2018-05-10,2018,전라남도
003000000001143047,Castanea crenata,밤나무,35.17380556,127.17475,2018-05-21,2018,전라남도
003000000001180230,Castanea crenata,밤나무,34.83605556,126.103,2018-05-13,2018,전라남도
003000000001242181,Castanea crenata,밤나무,34.85044722,126.2535944,2018-08-16,2018,전라남도
003000000001146312,Castanea crenata,밤나무,34.32333333,126.9836111,2018-05-19,2018,전라남도
003000000001214469,Castanea crenata,밤나무,34.51830833,126.3472306,2018-06-18,2018,전라남도
003000000001180757,Castanea crenata,밤나무,34.89197222,126.0561667,2018-06-23,2018,전라남도
003000000001178907,Castanea crenata,밤나무,35.29336111,126.7322222,2018-07-09,2018,전라남도
003000000001088659,Castanea crenata,밤나무,34.59926667,126.6023944,2018-06-10,2018,전라남도
003000000001064031,Castanea crenata,밤나무,34.98366667,126.5609306,2018-06-07,2018,전라남도
003000000001119913,Castanea crenata,밤나무,36.02444444,127.3547222,2015-07-08,2015,전라북도
003000000001142726,Castanea crenata,밤나무,35.74038056,127.4582167,2016-05-01,2016,전라북도
003000000001142590,Castanea crenata,밤나무,35.73891667,127.3855861,2016-11-03,2016,전라북도
003000000001101904,Castanea crenata,밤나무,36.024281,127.647871,2016-09-03,2016,전라북도
003000000001238328,Castanea crenata,밤나무,36.01513889,127.1508611,2017-09-12,2017,전라북도
003000000001253541,Castanea crenata,밤나무,36.05569722,127.3152167,2017-09-16,2017,전라북도
003000000001089936,Castanea crenata,밤나무,35.92911944,126.7405917,2017-05-19,2017,전라북도
003000000001126442,Castanea crenata,밤나무,36.03888889,127.0444444,2017-09-19,2017,전라북도
003000000001125917,Castanea crenata,밤나무,35.99166667,127.0911111,2017-09-20,2017,전라북도
003000000001125959,Castanea crenata,밤나무,35.99166667,127.0911111,2017-09-20,2017,전라북도
003000000001126012,Castanea crenata,밤나무,35.99666667,127.0911111,2017-10-24,2017,전라북도
003000000001126540,Castanea crenata,밤나무,36.0175,127.0347222,2017-10-23,2017,전라북도
003000000001136480,Castanea crenata,밤나무,36.01886111,127.8273056,2017-10-21,2017,전라북도
003000000001090251,Castanea crenata,밤나무,35.93265556,126.7196111,2017-10-02,2017,전라북도
003000000001090366,Castanea crenata,밤나무,35.91985833,126.7353139,2017-10-02,2017,전라북도
003000000001126318,Castanea crenata,밤나무,36.02916667,127.0402778,2017-08-18,2017,전라북도
003000000001125840,Castanea crenata,밤나무,35.99583333,127.0902778,2017-08-18,2017,전라북도
003000000001126258,Castanea crenata,밤나무,36.01388889,127.0361111,2017-06-15,2017,전라북도
003000000001126222,Castanea crenata,밤나무,36.01388889,127.0361111,2017-06-15,2017,전라북도
003000000001125712,Castanea crenata,밤나무,35.99166667,127.0911111,2017-06-15,2017,전라북도
003000000001234738,Castanea crenata,밤나무,36.09722222,126.9138889,2017-08-17,2017,전라북도
003000000001234621,Castanea crenata,밤나무,36.08055556,126.9194444,2017-06-16,2017,전라북도
