Latitude,Longitude,축종,발생두수
37.6011843,128.2265769,벌-재래종,1
36.3645223,129.3873596,벌-재래종,110
35.1849378,127.3547925,벌-재래종,1
37.4431918,128.8718084,벌-재래종,2
37.0060873,128.9653695,벌-재래종,2
36.9786453,128.85124,벌-재래종,2
37.3728454,128.4052788,벌-재래종,2
37.6361022,128.3700029,벌-재래종,1
37.6110372,128.0775996,벌-재래종,1
37.3675393,128.1159262,벌-재래종,2
37.6192937,127.5376046,벌-재래종,1
36.8072658,127.4319402,벌-개량종,400
37.6622733,128.5594295,벌-재래종,6
37.4515774,127.654413,벌-재래종,4
38.0834935,128.4610259,벌-재래종,12
37.6784735,127.9151229,벌-재래종,2
36.3735292,128.9007835,벌-재래종,2
36.5211412,128.555425,벌-재래종,1
35.4196814,127.6117698,벌-개량종,15
34.7040567,127.1445908,벌-재래종,1
34.7040567,127.1445908,벌-재래종,1
38.1453645,128.1335981,벌-재래종,3
37.6361022,128.3700029,벌-재래종,2
36.3085008,128.2774354,벌-개량종,300
35.0160601,127.0127779,벌-재래종,1
34.7040567,127.1445908,벌-재래종,1
37.5558764,127.5817911,벌-재래종,4
37.5306149,127.5850392,벌-재래종,10
37.5306149,127.5850392,벌-재래종,8
34.4668234,126.8357079,벌-재래종,1
37.7120915,127.7440552,벌-재래종,9
36.630742,128.9132417,벌-재래종,1
37.5307719,128.7275235,벌-재래종,31
37.0565536,128.7909086,벌-재래종,5
36.5789495,128.7192854,벌-재래종,8
34.7015684,127.0514942,벌-재래종,1
35.1849378,127.3547925,벌-재래종,1
35.0117982,126.8818047,벌-재래종,1
34.7026119,127.1659258,벌-재래종,1
34.7026119,127.1659258,벌-재래종,1
34.7026119,127.1659258,벌-재래종,1
37.2132563,129.0268626,벌-개량종,180
37.1922511,128.8706731,벌-재래종,2
38.1002164,127.749467,벌-개량종,50
37.2764225,127.355345,벌-재래종,1
37.3675393,128.1159262,벌-재래종,1
35.7397064,127.1401714,벌-재래종,38
37.8303719,127.8955118,벌-재래종,5
36.9448146,128.9381286,벌-재래종,1
36.3735292,128.9007835,벌-재래종,2
37.017043,128.8162766,벌-재래종,4
35.5640875,127.2965426,벌-개량종,300
35.5640875,127.2965426,벌-개량종,30
37.3437715,127.1194183,벌-재래종,5
35.1749839,126.5409272,벌-재래종,2
34.7026119,127.1659258,벌-재래종,1
36.4518737,129.4294626,벌-재래종,20
37.7770615,128.0156889,벌-재래종,2
37.6011843,128.2265769,벌-재래종,2
36.7047911,128.8286576,벌-재래종,29
36.8744093,128.8887244,벌-재래종,4
36.6932767,128.7045904,벌-재래종,5
36.139544,127.7420999,벌-개량종,58
34.5278304,126.8366131,벌-재래종,1
36.8494311,127.6500498,벌-개량종,200
36.9694817,128.7708492,벌-재래종,7
34.7128412,127.1870253,벌-재래종,1
37.9529831,128.1965588,벌-재래종,2
37.5558764,127.5817911,벌-재래종,3
