Latitude,Longitude,축종,발생두수,ID_tree,종,카운트,ID
38.0019958,128.6187189,벌-재래종,7,2305,굴참나무,1,177
35.8869663,127.8205443,벌-재래종,1,4217,붉나무,1,178
36.9256095,128.9603713,벌-재래종,65,3151,떡갈나무,1,179
37.5631941,128.3127372,벌-재래종,1,7113,애기똥풀,1,180
36.3321473,128.8067483,벌-재래종,1,2714,다래,1,181
37.2237462,128.6427344,벌-재래종,5,5271,산초나무,1,182
38.1700928,127.7093384,벌-재래종,5,2591,다래,1,183
37.5893415,127.4947634,벌-재래종,2,4110,붉나무,1,184
36.9796571,128.3675653,벌-재래종,2,5230,산초나무,1,185
35.7070291,127.1532238,벌-재래종,20,4043,붉나무,1,186
37.5558764,127.5817911,벌-재래종,4,2517,다래,1,187
36.3351104,128.9174135,벌-재래종,9,6118,신갈나무,1,188
34.7040567,127.1445908,벌-재래종,1,1550,광대싸리,1,189
36.9796571,128.3675653,벌-재래종,1,5230,산초나무,1,190
35.8869663,127.8205443,벌-재래종,13,4217,붉나무,1,191
35.8869663,127.8205443,벌-재래종,3,4217,붉나무,1,192
37.7979718,126.3953013,벌-재래종,26,33,갈참나무,1,193
37.1919741,128.5989961,벌-재래종,2,1868,광대싸리,1,194
37.5690079,128.3547193,벌-재래종,2,7113,애기똥풀,1,195
37.3628576,128.4182448,벌-재래종,7,6601,아까시나무,1,196
38.0087006,128.1617215,벌-재래종,2,5984,신갈나무,1,197
37.6147161,127.8863288,벌-재래종,4,3597,밤나무,2,198
37.9993658,128.3250403,벌-재래종,3,7126,애기똥풀,1,199
38.0466608,128.3851271,벌-재래종,3,7126,애기똥풀,1,200
37.8140141,128.1452309,벌-재래종,3,1048,개옻나무,1,201
37.3411588,126.7220994,벌-재래종,2,7463,족제비싸리,1,202
37.9429407,127.4806675,벌-재래종,3,1630,광대싸리,1,203
37.9429407,127.4806675,벌-재래종,6,1630,광대싸리,1,204
35.5646226,127.1343061,벌-재래종,4,176,갈참나무,1,205
36.3321473,128.8067483,벌-재래종,3,2714,다래,1,206
37.7267059,126.9116461,벌-재래종,10,4805,산초나무,1,207
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,208
34.3936351,126.5418454,벌-재래종,1,2832,떡갈나무,2,209
37.6020683,127.9591221,벌-재래종,4,4266,붉나무,1,210
36.4785066,129.1679121,벌-재래종,75,2743,다래,1,211
36.9635809,127.9320017,벌-재래종,4,4249,붉나무,2,212
36.3231567,128.8736824,벌-재래종,2,6118,신갈나무,1,213
36.3321473,128.8067483,벌-재래종,2,2714,다래,1,214
35.2867911,126.5237272,벌-재래종,1,749,개옻나무,1,215
35.0878407,127.6114145,벌-재래종,1,7574,족제비싸리,1,216
35.0878407,127.6114145,벌-재래종,1,7574,족제비싸리,1,217
35.1849378,127.3547925,벌-재래종,1,193,갈참나무,1,218
36.4785066,129.1679121,벌-재래종,13,2743,다래,1,219
37.3411588,126.7220994,벌-재래종,5,7463,족제비싸리,1,220
37.5558764,127.5817911,벌-재래종,3,2517,다래,1,221
37.2772238,128.1975847,벌-재래종,1,652,개다래,1,222
35.121549,127.3677518,벌-재래종,1,193,갈참나무,1,223
36.3231567,128.8736824,벌-재래종,2,6118,신갈나무,1,224
36.4571359,129.3230741,벌-재래종,115,1925,광대싸리,1,225
35.2053772,128.1165386,벌-재래종,150,7631,족제비싸리,1,226
36.7047911,128.8286576,벌-재래종,8,3704,밤나무,1,227
38.0375603,128.5476157,벌-재래종,9,2678,다래,1,228
37.4048732,128.1453026,벌-재래종,1,6568,아까시나무,2,229
36.2648464,127.404001,벌-재래종,2,198,갈참나무,1,230
36.3321473,128.8067483,벌-재래종,2,2714,다래,1,231
37.3526611,127.8023805,벌-재래종,29,4213,붉나무,1,232
34.7040567,127.1445908,벌-재래종,1,1550,광대싸리,1,233
34.7040567,127.1445908,벌-재래종,1,1550,광대싸리,1,234
37.9529831,128.1965588,벌-재래종,4,654,개다래,1,235
37.9529831,128.1965588,벌-재래종,1,654,개다래,1,236
37.8059381,127.8497773,벌-재래종,4,5131,산초나무,3,237
37.7120915,127.7440552,벌-재래종,4,4190,붉나무,1,238
37.5933552,128.1664828,벌-재래종,3,7082,애기똥풀,1,239
37.8228476,127.9549594,벌-재래종,7,636,개다래,4,240
37.8059381,127.8497773,벌-재래종,1,5131,산초나무,3,241
35.6899474,127.3178602,벌-재래종,6,6868,애기똥풀,1,242
37.3728454,128.4052788,벌-재래종,2,6601,아까시나무,1,243
35.6019213,127.1434343,벌-재래종,23,176,갈참나무,1,244
37.5631941,128.3127372,벌-재래종,2,7113,애기똥풀,1,245
34.4439909,126.5877817,벌-재래종,1,7453,족제비싸리,1,246
37.3411588,126.7220994,벌-재래종,1,7463,족제비싸리,1,247
37.5710458,127.6416006,벌-재래종,9,2158,굴참나무,3,248
37.8173563,128.0004157,벌-재래종,3,636,개다래,4,249
37.7410335,128.0839616,벌-재래종,1,6562,아까시나무,1,250
38.1922602,128.1994956,벌-재래종,3,2253,굴참나무,1,251
37.9478221,128.142228,벌-재래종,1,1775,광대싸리,1,252
37.7120915,127.7440552,벌-재래종,1,4190,붉나무,1,253
37.6518777,127.74339,벌-재래종,20,975,개옻나무,2,254
37.6324523,127.7520913,벌-재래종,5,975,개옻나무,2,255
36.6536828,128.9347622,벌-재래종,1,3704,밤나무,1,256
38.0834935,128.4610259,벌-재래종,6,2678,다래,1,257
37.7953885,128.0466435,벌-재래종,3,6562,아까시나무,1,258
37.4405188,127.8508915,벌-재래종,51,4213,붉나무,1,259
37.5066872,127.4717254,벌-재래종,2,1450,고추,1,260
35.5988084,127.3825703,벌-재래종,50,8433,주름잎,1,261
37.50515,128.6013888,벌-재래종,3,2684,다래,1,262
36.3321473,128.8067483,벌-재래종,6,2714,다래,1,263
35.2714721,127.8166414,벌-재래종,2,7011,애기똥풀,1,264
37.4351307,128.1088047,벌-재래종,3,6568,아까시나무,2,265
36.6966455,128.969731,벌-재래종,1,8859,초피나무,1,266
37.0060873,128.9653695,벌-재래종,1,1891,광대싸리,1,267
36.9225591,128.8623667,벌-재래종,1,1882,광대싸리,1,268
37.5631941,128.3127372,벌-재래종,1,7113,애기똥풀,1,269
37.5631941,128.3127372,벌-재래종,1,7113,애기똥풀,1,270
37.2534286,128.726245,벌-재래종,4,1875,광대싸리,1,271
38.1681838,128.1786506,벌-재래종,5,5977,신갈나무,1,272
35.6990304,127.590711,벌-재래종,18,4118,붉나무,1,273
37.7356068,128.2378592,벌-재래종,4,3640,밤나무,1,274
35.2202574,127.3881185,벌-재래종,1,6888,애기똥풀,1,275
37.3728454,128.4052788,벌-재래종,27,6601,아까시나무,1,276
37.2220583,128.8218722,벌-재래종,5,7701,족제비싸리,1,277
37.2597658,128.8729253,벌-재래종,15,6663,아까시나무,1,278
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,279
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,280
