Source,Target,Weight
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
4805,4805,0.0
4805,4805,0.0
4805,4805,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
4266,4266,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
4249,4249,0.0
4249,4249,0.0
4249,4249,0.0
4249,4249,0.0
4249,4249,0.0
6118,6118,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
7574,7574,0.0
7574,7574,0.0
7574,7574,0.0
7574,7574,0.0
7574,7574,0.0
7574,7574,0.0
7574,7574,0.0
193,193,0.0
193,193,0.0
193,193,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
7463,7463,0.0
2517,2517,0.0
2517,2517,0.0
2517,2517,0.0
2517,2517,0.0
193,193,0.0
193,193,0.0
193,193,0.0
193,193,0.0
1925,1925,0.0
1925,1925,0.0
7631,7631,0.0
3704,3704,0.0
3704,3704,0.0
3704,3704,0.0
3704,3704,0.0
2678,2678,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
654,654,0.0
654,654,0.0
654,654,0.0
654,654,0.0
654,654,0.0
5131,5131,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
636,636,0.0
636,636,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
176,176,0.0
176,176,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
2158,2158,0.0
2253,2253,0.0
2253,2253,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
975,975,0.0
975,975,0.0
2678,2678,0.0
2678,2678,0.0
2678,2678,0.0
6562,6562,0.0
4213,4213,0.0
4213,4213,0.0
2684,2684,0.0
2714,2714,0.0
2714,2714,0.0
7011,7011,0.0
7011,7011,0.0
7011,7011,0.0
7011,7011,0.0
7011,7011,0.0
6568,6568,0.0
8859,8859,0.0
8859,8859,0.0
8859,8859,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
4118,4118,0.0
4118,4118,0.0
4118,4118,0.0
3640,3640,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
7701,7701,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
447,447,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
4805,4805,0.0
4805,4805,0.0
8743,8743,0.0
2136,2136,0.0
2136,2136,0.0
2136,2136,0.0
2136,2136,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
5601,5601,0.0
654,654,0.0
1433,1433,0.0
5984,5984,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
926,926,0.0
926,926,0.0
926,926,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
4249,4249,0.0
4249,4249,0.0
4249,4249,0.0
4249,4249,0.0
1437,1437,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
656,656,0.0
656,656,0.0
656,656,0.0
193,193,0.0
193,193,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
8128,8128,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
2678,2678,0.0
2678,2678,0.0
7407,7407,0.0
7407,7407,0.0
7407,7407,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
2517,2517,0.0
2517,2517,0.0
2517,2517,0.0
2136,2136,0.0
2136,2136,0.0
2136,2136,0.0
2136,2136,0.0
2136,2136,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
1877,1877,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
193,193,0.0
101,101,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
6568,6568,0.0
6568,6568,0.0
3151,3151,0.0
7407,7407,0.0
7407,7407,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1550,1550,0.0
1550,1550,0.0
431,431,0.0
431,431,0.0
431,431,0.0
431,431,0.0
8495,8495,0.0
656,656,0.0
656,656,0.0
3704,3704,0.0
3704,3704,0.0
3704,3704,0.0
1887,1887,0.0
