,nearby_id_1,nearby_id_2,nearby_id_3,nearby_id_4,nearby_id_5,nearby_id_6,nearby_id_7,nearby_id_8,nearby_id_9,nearby_id_10,nearby_id_11,nearby_id_12,nearby_id_13,nearby_id_14,nearby_id_15,nearby_id_16,nearby_id_17,nearby_id_18,nearby_id_19,nearby_id_20,nearby_id_21,nearby_id_22,nearby_id_23,nearby_id_24,nearby_id_25,nearby_id_26,nearby_id_27,nearby_id_28
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,32.0,47.0,150.0,203.0,204.0,404.0,440.0,717.0,745.0,816.0,920.0,921.0,940.0,941.0,,,,,,,,,,,,,,
74,33.0,66.0,90.0,117.0,124.0,992.0,1056.0,,,,,,,,,,,,,,,,,,,,,
75,720.0,768.0,774.0,,,,,,,,,,,,,,,,,,,,,,,,,
76,228.0,257.0,319.0,442.0,453.0,996.0,1042.0,1077.0,,,,,,,,,,,,,,,,,,,,
77,84.0,118.0,152.0,161.0,490.0,,,,,,,,,,,,,,,,,,,,,,,
78,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4.0,15.0,102.0,136.0,211.0,219.0,419.0,547.0,548.0,592.0,,,,,,,,,,,,,,,,,,
80,3.0,83.0,165.0,272.0,325.0,372.0,470.0,498.0,556.0,600.0,769.0,786.0,1016.0,1101.0,1105.0,1106.0,1107.0,1116.0,1120.0,1149.0,1157.0,,,,,,,
81,200.0,512.0,514.0,580.0,584.0,589.0,591.0,599.0,602.0,864.0,1138.0,,,,,,,,,,,,,,,,,
82,3.0,81.0,165.0,272.0,325.0,372.0,470.0,498.0,556.0,600.0,769.0,786.0,1016.0,1101.0,1105.0,1106.0,1107.0,1116.0,1120.0,1149.0,1157.0,,,,,,,
83,78.0,118.0,152.0,161.0,490.0,,,,,,,,,,,,,,,,,,,,,,,
84,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,111.0,723.0,764.0,1084.0,,,,,,,,,,,,,,,,,,,,,,,,
87,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,11.0,21.0,26.0,51.0,55.0,62.0,103.0,311.0,351.0,376.0,408.0,409.0,522.0,530.0,553.0,559.0,569.0,572.0,574.0,588.0,594.0,610.0,611.0,691.0,722.0,754.0,805.0,1063.0
89,33.0,66.0,75.0,117.0,124.0,992.0,1056.0,,,,,,,,,,,,,,,,,,,,,
90,24.0,114.0,170.0,260.0,441.0,686.0,697.0,721.0,733.0,761.0,1111.0,,,,,,,,,,,,,,,,,
91,65.0,171.0,256.0,334.0,573.0,1005.0,,,,,,,,,,,,,,,,,,,,,,
92,742.0,1033.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,95.0,460.0,532.0,543.0,570.0,608.0,869.0,,,,,,,,,,,,,,,,,,,,,
94,94.0,460.0,532.0,543.0,570.0,608.0,869.0,,,,,,,,,,,,,,,,,,,,,
95,61.0,254.0,255.0,449.0,607.0,618.0,621.0,800.0,936.0,974.0,1003.0,1092.0,1093.0,1100.0,,,,,,,,,,,,,,
96,642.0,671.0,725.0,933.0,,,,,,,,,,,,,,,,,,,,,,,,
97,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,19.0,44.0,640.0,1091.0,,,,,,,,,,,,,,,,,,,,,,,,
100,538.0,595.0,597.0,,,,,,,,,,,,,,,,,,,,,,,,,
101,4.0,15.0,28.0,80.0,136.0,141.0,175.0,211.0,219.0,419.0,547.0,548.0,592.0,,,,,,,,,,,,,,,
102,26.0,29.0,62.0,89.0,135.0,267.0,299.0,300.0,310.0,311.0,349.0,408.0,409.0,467.0,521.0,522.0,553.0,559.0,569.0,572.0,588.0,691.0,722.0,754.0,795.0,927.0,1063.0,1125.0
103,50.0,159.0,315.0,346.0,402.0,493.0,1076.0,,,,,,,,,,,,,,,,,,,,,
104,113.0,239.0,970.0,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,277.0,344.0,549.0,916.0,1057.0,,,,,,,,,,,,,,,,,,,,,,,
107,34.0,155.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,
108,1130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,9.0,112.0,655.0,875.0,,,,,,,,,,,,,,,,,,,,,,,,
110,87.0,723.0,764.0,1084.0,,,,,,,,,,,,,,,,,,,,,,,,
111,9.0,110.0,655.0,875.0,,,,,,,,,,,,,,,,,,,,,,,,
112,105.0,153.0,239.0,306.0,357.0,371.0,976.0,989.0,1083.0,,,,,,,,,,,,,,,,,,,
113,24.0,91.0,170.0,260.0,441.0,686.0,697.0,721.0,733.0,761.0,991.0,1111.0,,,,,,,,,,,,,,,,
114,168.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,33.0,66.0,75.0,90.0,124.0,992.0,1056.0,,,,,,,,,,,,,,,,,,,,,
117,78.0,84.0,152.0,161.0,490.0,,,,,,,,,,,,,,,,,,,,,,,
118,163.0,167.0,189.0,208.0,233.0,234.0,279.0,280.0,283.0,284.0,289.0,323.0,324.0,328.0,341.0,342.0,343.0,354.0,363.0,564.0,740.0,1013.0,,,,,,
119,244.0,657.0,760.0,829.0,854.0,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,27.0,46.0,181.0,206.0,213.0,214.0,224.0,231.0,263.0,321.0,350.0,661.0,666.0,680.0,682.0,729.0,848.0,1002.0,1041.0,,,,,,,,,
122,126.0,129.0,164.0,271.0,392.0,477.0,531.0,757.0,887.0,916.0,,,,,,,,,,,,,,,,,,
123,33.0,66.0,75.0,90.0,117.0,992.0,1056.0,,,,,,,,,,,,,,,,,,,,,
124,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,123.0,129.0,164.0,271.0,392.0,477.0,531.0,757.0,887.0,916.0,,,,,,,,,,,,,,,,,,
126,67.0,137.0,335.0,368.0,803.0,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,123.0,126.0,164.0,271.0,392.0,477.0,531.0,757.0,887.0,916.0,,,,,,,,,,,,,,,,,,
129,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,18.0,320.0,612.0,867.0,1004.0,,,,,,,,,,,,,,,,,,,,,,,
131,149.0,229.0,265.0,315.0,346.0,375.0,395.0,396.0,402.0,412.0,460.0,462.0,463.0,481.0,493.0,496.0,503.0,507.0,532.0,543.0,608.0,635.0,,,,,,
132,238.0,253.0,333.0,476.0,488.0,603.0,614.0,630.0,791.0,,,,,,,,,,,,,,,,,,,
133,45.0,58.0,59.0,201.0,414.0,515.0,914.0,947.0,1074.0,,,,,,,,,,,,,,,,,,,
134,29.0,103.0,267.0,299.0,300.0,310.0,467.0,521.0,559.0,569.0,754.0,795.0,1125.0,,,,,,,,,,,,,,,
135,4.0,15.0,80.0,102.0,211.0,219.0,419.0,547.0,548.0,592.0,,,,,,,,,,,,,,,,,,
